Plaats,Woon- plaats- code,Postcode (laagste tot hoogste),Gemeente met link naar gemeentelijke website,Provincie
Dikbroeken,,7876–7876,Borger-Odoorn,Drenthe
(De) Dingen,,9953–9953,Het Hogeland,Groningen
(De) Dingen,,9953–9953,Het Hogeland,Groningen
Dinteloord,1402,4671–4671,Steenbergen,Noord-Brabant
Dintelsas,,4671–4671,Steenbergen,Noord-Brabant
Dinther,,5473–5473,Bernheze,Noord-Brabant
Dintherse Hoek,,5473–5473,Bernheze,Noord-Brabant
Dinxperlo,1196,7091–7091,Aalten,Gelderland
Diphoorn,2152,7842–7842,Coevorden,Drenthe
Dirkshorn,3289,1746–1746,Schagen,Noord-Holland
Dirksland,2377,3247–3247,Goeree-Overflakkee,Zuid-Holland
Dishoek,,4371–4371,Veere,Zeeland
Distelberg,,5268–5268,Haaren,Noord-Brabant
Diunt,,4836–4836,Breda,Noord-Brabant
Dodewaard,1094,6669–6669,Neder-Betuwe,Gelderland
Doenrade,2100,6439–6439,Beekdaelen,Limburg
Doesburg,2142,6981–6984,Doesburg,Gelderland
Doesburgerbuurt,,6718–6718,Ede,Gelderland
Doetinchem,3246,7001–7009,Doetinchem,Gelderland
Doeveren,3514,5157–5157,Heusden,Noord-Brabant
Doezum,2174,9863–9863,Westerkwartier,Groningen
Doijum / Doaium,,8801–8801,Waadhoeke,Fryslân
Dokkum,3391,9101–9103,Noardeast-Fryslân,Fryslân
Dokkumer Nieuwe Zijlen / Dokkumer Nije Silen,,9132–9132,Noardeast-Fryslân,Fryslân
Dolberg,,6343–6343,Voerendaal,Limburg
Den Dolder,2822,3734–3734,Zeist,Utrecht
Doldersum,3109,8386–8386,Westerveld,Drenthe
Domburg,2776,4357–4357,Veere,Zeeland
Domme Aanleg,,7122–7122,Aalten,Gelderland
Dommelen,,5551–5551,Valkenswaard,Noord-Brabant
Dommelsvoort,,5437–5437,Cuijk,Noord-Brabant
Domwier,,9005–9005,Leeuwarden,Fryslân
Donderen,2916,9497–9497,Tynaarlo,Drenthe
Dongen,2799,5101–5107,Dongen,Noord-Brabant
Dongjum / Doanjum,1372,8808–8808,Waadhoeke,Fryslân
Doniaburen,,8761–8761,Súdwest-Fryslân,Fryslân
Doniaga / Dunegea,2488,8516–8516,De Fryske Marren,Fryslân
De Donk,,2974–2974,Molenlanden,Zuid-Holland
Donk,,5512–5512,Eersel,Noord-Brabant
Donk,,5995–5995,Peel en Maas,Limburg
Donk,,5768–5768,Peel en Maas,Limburg
Donkerbroek,1754,8435–8435,Ooststellingwerf,Fryslân
Donkereind,,3645–3645,De Ronde Venen,Utrecht
Donkersvoort,,5741–5741,Laarbeek,Noord-Brabant
Donzel,,5388–5388,Bernheze,Noord-Brabant
De Dood,,4715–4715,Rucphen,Noord-Brabant
Doodstil,,9997–9997,Het Hogeland,Groningen
Den Dool,,4231–4231,Molenlanden,Zuid-Holland
Doonheide,,5421–5421,Gemert-Bakel,Noord-Brabant
Doorn,3339,3941–3941,Utrechtse Heuvelrug,Utrecht
Doornenburg,3134,6686–6686,Lingewaard,Gelderland
Doornhoek,,5258–5258,Sint-Michielsgestel,Noord-Brabant
Doornhoek,,5465–5465,Meierijstad,Noord-Brabant
Doornik,,6681–6681,Lingewaard,Gelderland
Doorning,,5328–5328,Maasdriel,Gelderland
Doornspijk,1846,8085–8085,Elburg,Gelderland
Doornsteeg,,3861–3861,Nijkerk,Gelderland
Doorwerth,2986,6865–6865,Renkum,Gelderland
Doosje,,7946–7946,Steenwijkerland,Overijssel
Dordrecht,2351,3301–3329,Dordrecht,Zuid-Holland
Dorkwerd,,9746–9746,Groningen,Groningen
Dorp,,9871–9871,Westerkwartier,Groningen
Dorshout,,5462–5462,Meierijstad,Noord-Brabant
Dorst,2959,4849–4849,Oosterhout,Noord-Brabant
Dortherhoek,,7437–7437,Deventer,Overijssel
Douvergenhout,,6447–6447,Beekdaelen,Limburg
Douwen,,9965–9965,Het Hogeland,Groningen
Draaibrug,,4527–4527,Sluis,Zeeland
Draaisterhuizen / Draeisterhuzen,,8618–8618,Súdwest-Fryslân,Fryslân
Drachten,3279,9201–9207,Smallingerland,Fryslân
Drachten-Azeven,3344,9207–9207,Opsterland,Fryslân
Drachtstercompagnie / De (Drachtster) Kompenije,3280,9222–9222,Smallingerland,Fryslân
Dreischor,2677,4315–4315,Schouwen-Duiveland,Zeeland
Drempt,1520,6996–6996,Bronckhorst,Gelderland
Dreumel,1771,6621–6621,West Maas en Waal,Gelderland
Drie,,3852–3852,Ermelo,Gelderland
Drie Hoefijzers,,4566–4566,Hulst,Zeeland
Drie Hoefijzers,,4675–4675,Moerdijk,Noord-Brabant
Driebergen-Rijsenburg,3335,3971–3972,Utrechtse Heuvelrug,Utrecht
Drieboerehuizen / Trijeboerehuzen,,9151–9151,Noardeast-Fryslân,Fryslân
Drieborg,1422,9688–9688,Oldambt,Groningen
Driebruggen,2477,3465–3465,Bodegraven-Reeuwijk,Zuid-Holland
Driedorp,,3862–3862,Nijkerk,Gelderland
Driehoek,,5684–5684,Best,Noord-Brabant
Driehoek,,4793–4793,Moerdijk,Noord-Brabant
Driehoek,,5841–5841,Sint Anthonis,Noord-Brabant
Driehoek,,5691–5691,Son en Breugel,Noord-Brabant
Driehoek,,4881–4881,Zundert,Noord-Brabant
Driehuis,,5511–5511,Eersel,Noord-Brabant
Driehuis,,1985–1985,Velsen,Noord-Holland
Driehuizen,1886,1844–1844,Alkmaar,Noord-Holland
Driehuizen,,5111–5111,Baarle-Nassau,Noord-Brabant
Driehuizen,,5512–5512,Eersel,Noord-Brabant
Driehuizen,,5081–5081,Hilvarenbeek,Noord-Brabant
Driehuizen,,5464–5464,Meierijstad,Noord-Brabant
Driel,1863,6665–6665,Overbetuwe,Gelderland
Driemond,,1109–1109,Amsterdam,Noord-Holland
Driene,,7552–7552,Hengelo,Overijssel
Dries,,6086–6086,Leudal,Limburg
Drieschouwen,,4571–4571,Terneuzen,Zeeland
De Driesprong,,2295–2295,Westland,Zuid-Holland
Driesprong,,6718–6718,Ede,Gelderland
Driewegen,1253,4438–4438,Borsele,Zeeland
Driewegen,,4521–4521,Terneuzen,Zeeland
Driezum / Driesum,3268,9114–9114,Dantumadiel,Fryslân
Drieënhuizen,,3774–3774,Barneveld,Gelderland
Drijber,3009,9419–9419,Midden-Drenthe,Drenthe
Drimmelen,2574,4924–4924,Drimmelen,Noord-Brabant
Drogeham / Droegeham,3176,9289–9289,Achtkarspelen,Fryslân
Drogt,,7921–7921,De Wolden,Drenthe
Drogteropslagen,3163,7705–7705,De Wolden,Drenthe
Drongelen,1952,4267–4267,Altena,Noord-Brabant
Dronryp / Dronrijp,2729,9035–9035,Waadhoeke,Fryslân
Dronten,2430,8251–8254,Dronten,Flevoland
Drouwen,1787,9533–9533,Borger-Odoorn,Drenthe
Drouwenermond,1788,9523–9523,Borger-Odoorn,Drenthe
Drouwenerveen,1789,9525–9525,Borger-Odoorn,Drenthe
De Druif,,4791–4791,Moerdijk,Noord-Brabant
Druisdijk,,5131–5131,Alphen-Chaam,Noord-Brabant
Drunen,3589,5151–5152,Heusden,Noord-Brabant
Druten,2904,6651–6652,Druten,Gelderland
Dubbroek,,5993–5993,Peel en Maas,Limburg
Duifhuis,,5411–5411,Landerd,Noord-Brabant
Duifhuis,,5406–5406,Uden,Noord-Brabant
Duiksehoef,,5175–5175,Loon op Zand,Noord-Brabant
Duinen,,3849–3849,Harderwijk,Gelderland
Duistervoorde,,7391–7391,Voorst,Gelderland
Duiven,2096,6921–6922,Duiven,Gelderland
Duivendrecht,3568,1114–1115,Ouder-Amstel,Noord-Holland
Duivenhoek,,4587–4587,Hulst,Zeeland
Duizel,2992,5525–5525,Eersel,Noord-Brabant
Duizend Morgen,,4284–4284,Altena,Noord-Brabant
Dulder,,7597–7597,Dinkelland,Overijssel
Dun,,5085–5085,Hilvarenbeek,Noord-Brabant
Den Dungen,2058,5275–5275,Sint-Michielsgestel,Noord-Brabant
Dunsborg,,7255–7255,Bronckhorst,Gelderland
Durgerdam,,1026–1026,Amsterdam,Noord-Holland
Dussen,2214,4271–4271,Altena,Noord-Brabant
Duur,,8121–8121,Olst-Wijhe,Overijssel
Duurendseind,,5351–5351,Oss,Noord-Brabant
Duurkenakker,,9651–9651,Midden-Groningen,Groningen
Dwarsdiep,,9663–9663,Stadskanaal,Groningen
Dwarsdijk,,3945–3945,Wijk bij Duurstede,Utrecht
Dwarsgracht,,8355–8355,Steenwijkerland,Overijssel
Dwingeloo,3110,7991–7991,Westerveld,Drenthe
Earnewâld / Eernewoude,2456,9264–9264,Tytsjerksteradiel,Fryslân
Easterein / Oosterend,2013,8734–8734,Súdwest-Fryslân,Fryslân
Easterlittens / Oosterlittens,2014,8835–8835,Leeuwarden,Fryslân
Eastermar / Oostermeer,2454,9261–9261,Tytsjerksteradiel,Fryslân
Easterwierrum / Oosterwierum,2015,9021–9021,Súdwest-Fryslân,Fryslân
Ebbenbroek,,7695–7695,Hardenberg,Overijssel
Echt,2041,6101–6101,Echt-Susteren,Limburg
Echteld,3524,4054–4054,Neder-Betuwe,Gelderland
Echten,3164,7932–7932,De Wolden,Drenthe
Echten / Ychten,2241,8537–8537,De Fryske Marren,Fryslân
Echtenerbrug / Ychtenbrêge,2242,8539–8539,De Fryske Marren,Fryslân
Echterbosch,,6105–6105,Echt-Susteren,Limburg
Eck en Wiel,3374,4024–4024,Buren,Gelderland
Eckelrade,1693,6251–6252,Eijsden-Margraten,Limburg
Edam,1747,1135–1135,Edam-Volendam,Noord-Holland
Ede,2764,6711–6718,Ede,Gelderland
Ederveen,2769,6744–6744,Ede,Gelderland
Ee / Ie,3392,9131–9131,Noardeast-Fryslân,Fryslân
Eede,2966,4529–4529,Sluis,Zeeland
Eefde,1336,7211–7211,Lochem,Gelderland
Eefsele,,7141–7141,Oost Gelre,Gelderland
Eekt,,8097–8097,Oldebroek,Gelderland
Eekwerd,,9917–9917,Loppersum,Groningen
Eekwerderdraai,,9917–9917,Loppersum,Groningen
Eelde,2909,9761–9761,Tynaarlo,Drenthe
Eelde-Paterswolde,,9761–9765,Tynaarlo,Drenthe
Eelderwolde,2911,9766–9766,Tynaarlo,Drenthe
Eelen,,7447–7447,Hellendoorn,Overijssel
Eembrugge,,3755–3755,Eemnes,Utrecht
Eemdijk,2238,3754–3754,Bunschoten,Utrecht
Eemnes,1037,3755–3755,Eemnes,Utrecht
Eemshaven,3473,9979–9979,Het Hogeland,Groningen
Eemster,,7991–7991,Westerveld,Drenthe
Eemswoude / Ymswâlde,,8765–8765,Súdwest-Fryslân,Fryslân
Eemten,,7957–7957,De Wolden,Drenthe
Een,1634,9342–9342,Noordenveld,Drenthe
Een-West,1635,9343–9343,Noordenveld,Drenthe
Eeneind,,5674–5674,"Nuenen, Gerwen en Nederwetten",Noord-Brabant
Eenigenburg,,1744–1744,Schagen,Noord-Holland
Eenrum,3415,9967–9967,Het Hogeland,Groningen
Eenum,3444,9913–9913,Loppersum,Groningen
Eerbeek,1114,6961–6961,Brummen,Gelderland
Eerde,,7731–7731,Ommen,Overijssel
Eerde,,5466–5466,Meierijstad,Noord-Brabant
Eersel,2993,5521–5521,Eersel,Noord-Brabant
Eerste Dwarsdiep,,9515–9515,Aa en Hunze,Drenthe
Ees,1790,9536–9536,Borger-Odoorn,Drenthe
Eese,,8347–8347,Steenwijkerland,Overijssel
Eesergroen,1791,9537–9537,Borger-Odoorn,Drenthe
Eeserveen,1792,7858–7859,Borger-Odoorn,Drenthe
Eesterga / Jistergea,2243,8534–8534,De Fryske Marren,Fryslân
Eesveen,2699,8347–8347,Steenwijkerland,Overijssel
Eethen,1953,4266–4266,Altena,Noord-Brabant
Eext,1155,9463–9463,Aa en Hunze,Drenthe
Eextahaven,,9679–9679,Oldambt,Groningen
Eexterveen,1156,9658–9658,Aa en Hunze,Drenthe
Eexterveenschekanaal,1157,9659–9659,Aa en Hunze,Drenthe
Eexterzandvoort,1158,9464–9464,Aa en Hunze,Drenthe
Effen,,4838–4838,Breda,Noord-Brabant
Egbertsgaasten,,9217–9217,Smallingerland,Fryslân
Egchel,3439,5987–5987,Peel en Maas,Limburg
Egchelheide,,5987–5987,Peel en Maas,Limburg
Egede,,7447–7447,Hellendoorn,Overijssel
Egmond aan den Hoef,3048,1934–1934,Bergen,Noord-Holland
Egmond aan Zee,3049,1931–1931,Bergen,Noord-Holland
Egmond-Binnen,3050,1935–1935,Bergen,Noord-Holland
Egypte,,5531–5531,Bladel,Noord-Brabant
Eibergen,1662,7151–7152,Berkelland,Gelderland
Eijsden,1700,6245–6245,Eijsden-Margraten,Limburg
Eikberg,,4854–4854,Breda,Noord-Brabant
Eikelenbosch,,5111–5111,Baarle-Nassau,Noord-Brabant
Eikelenbosch,,5962–5962,Horst aan de Maas,Limburg
Eikelhof,,8121–8121,Olst-Wijhe,Overijssel
Eikenheuvel,,5406–5406,Uden,Noord-Brabant
Eiland,,6086–6086,Leudal,Limburg
Eiland,,6107–6107,Maasgouw,Limburg
Eiland,,4635–4635,Woensdrecht,Noord-Brabant
Eimeren,,6662–6662,Overbetuwe,Gelderland
t Eind,,5076–5076,Haaren,Noord-Brabant
Eind,,5561–5561,Bergeijk,Noord-Brabant
Eind,,6088–6088,Leudal,Limburg
Eind,,6034–6034,Nederweert,Limburg
Eind,,5694–5694,Son en Breugel,Noord-Brabant
Eind van Den Hout,,4911–4911,Oosterhout,Noord-Brabant
Einde,,6071–6071,Roermond,Limburg
Eindewege,,4458–4458,Goes,Zeeland
Eindhoven,1101,5601–5657,Eindhoven,Noord-Brabant
Eindje,,5715–5715,Someren,Noord-Brabant
Einighausen,2810,6142–6142,Sittard-Geleen,Limburg
Ekamp,,9682–9684,Oldambt,Groningen
Ekehaar,1159,9454–9454,Aa en Hunze,Drenthe
Elahuizen / Ealahúzen,1675,8581–8581,De Fryske Marren,Fryslân
Elburg,1844,8081–8081,Elburg,Gelderland
Elde,,5481–5481,Meierijstad,Noord-Brabant
Eldersloo,1160,9453–9453,Aa en Hunze,Drenthe
Eldik,,4051–4051,Neder-Betuwe,Gelderland
Eldrik,,6998–6998,Bronckhorst,Gelderland
Eleveld,1161,9456–9456,Aa en Hunze,Drenthe
De Elft,,5363–5363,Grave,Noord-Brabant
Elim,1811,7916–7916,Hoogeveen,Drenthe
Elkenrade,1235,6289–6289,Gulpen-Wittem,Limburg
Elkerzee,,4322–4322,Schouwen-Duiveland,Zeeland
Ell,2942,6011–6011,Leudal,Limburg
Ellecom,1503,6955–6955,Rheden,Gelderland
Ellemeet,2678,4323–4323,Schouwen-Duiveland,Zeeland
Ellerhei,,6011–6011,Leudal,Limburg
Ellerhuizen,,9781–9781,Het Hogeland,Groningen
Ellersinghuizen,,9541–9541,Westerwolde,Groningen
Ellertshaar,1793,9535–9535,Borger-Odoorn,Drenthe
Ellewoutsdijk,1254,4437–4437,Borsele,Zeeland
Elp,3010,9442–9442,Midden-Drenthe,Drenthe
Elsen,,7475–7475,Hof van Twente,Overijssel
Elsendorp,2095,5424–5424,Gemert-Bakel,Noord-Brabant
Elsenerbroek,,7475–7475,Hof van Twente,Overijssel
Elshof,,8131–8131,Olst-Wijhe,Overijssel
Elshout,3590,5154–5154,Heusden,Noord-Brabant
Elshout,,5864–5864,Horst aan de Maas,Limburg
Elsloo,1914,6181–6181,Stein,Limburg
Elsloo / Elslo,1755,8424–8424,Ooststellingwerf,Fryslân
Elspeet,2983,8075–8075,Nunspeet,Gelderland
Elst,,5386–5386,Oss,Noord-Brabant
Elst,1864,6661–6662,Overbetuwe,Gelderland
Elst,,3921–3922,Rhenen,Utrecht
Elsteren,,5855–5855,Bergen,Limburg
Elzet,,6281–6281,Gulpen-Wittem,Limburg
Emmaberg,,6301–6301,Valkenburg aan de Geul,Limburg
Emmadorp,,4568–4568,Hulst,Zeeland
Emmeloord,1271,8301–8305,Noordoostpolder,Flevoland
Emmen,,7722–7722,Dalfsen,Overijssel
Emmen,1988,7801–7828,Emmen,Drenthe
Emmer-Compascuum,1989,7881–7881,Emmen,Drenthe
Emminkhuizen,,3927–3927,Renswoude,Utrecht
Empe,1109,7399–7399,Brummen,Gelderland
Empel,,5236–5236,s-Hertogenbosch,Noord-Brabant
Emst,1346,8166–8166,Epe,Gelderland
Endepoel,,5815–5815,Venray,Limburg
De Eng,,6921–6921,Duiven,Gelderland
Eng,,4288–4288,Altena,Noord-Brabant
Engbergen,,7083–7083,Oude IJsselstreek,Gelderland
De Engel,,2161–2161,Lisse,Zuid-Holland
Engeland,,7361–7361,Apeldoorn,Gelderland
Engeland,,7722–7722,Dalfsen,Overijssel
Engeland,,7963–7963,De Wolden,Drenthe
Engeland,,7784–7784,Hardenberg,Overijssel
Engelbert,,9723–9723,Groningen,Groningen
Engelen,,5221–5221,s-Hertogenbosch,Noord-Brabant
Englum,,9883–9883,Westerkwartier,Groningen
Engwegen,,6305–6305,Valkenburg aan de Geul,Limburg
Engwerd / Ingwert,,9012–9012,Súdwest-Fryslân,Fryslân
Engwier,,8754–8754,Súdwest-Fryslân,Fryslân
Engwierum / Ingwierrum,3393,9132–9132,Noardeast-Fryslân,Fryslân
Enkhuizen,2754,1601–1602,Enkhuizen,Noord-Holland
Ens,1276,8307–8307,Noordoostpolder,Flevoland
Enschede,1145,7501–7547,Enschede,Overijssel
Enspijk,3216,4157–4157,West Betuwe,Gelderland
Enter,1088,7468–7468,Wierden,Overijssel
Enumatil,2340,9811–9812,Westerkwartier,Groningen
Enzelens,,9918–9918,Loppersum,Groningen
Epe,1344,8161–8162,Epe,Gelderland
Epen,1232,6285–6285,Gulpen-Wittem,Limburg
Eperheide,,6285–6285,Gulpen-Wittem,Limburg
Eppenhuizen,3474,9996–9996,Het Hogeland,Groningen
Eppenzolder,,7482–7482,Haaksbergen,Overijssel
Epse,1337,7214–7214,Lochem,Gelderland
Erica,1990,7887–7887,Emmen,Drenthe
Erichem,3375,4117–4117,Buren,Gelderland
Erlecom,2874,6577–6577,Berg en Dal,Gelderland
Erm,2153,7843–7843,Coevorden,Drenthe
Ermelo,2573,3851–3853,Ermelo,Gelderland
Ermerveen,,7814–7814,Emmen,Drenthe
Erp,2826,5469–5469,Meierijstad,Noord-Brabant
Esbeek,1311,5085–5085,Hilvarenbeek,Noord-Brabant
Esch,1426,5296–5296,Haaren,Noord-Brabant
Escharen,3195,5364–5364,Grave,Noord-Brabant
Eschoten,,6731–6731,Ede,Gelderland
Esdonk,,5421–5421,Gemert-Bakel,Noord-Brabant
Esp,,5761–5761,Gemert-Bakel,Noord-Brabant
Espel,1280,8311–8311,Noordoostpolder,Flevoland
Espelo,,7451–7451,Rijssen-Holten,Overijssel
Essebroek,,4031–4031,Buren,Gelderland
Essen,,3774–3774,Barneveld,Gelderland
Essen,,9751–9751,Groningen,Groningen
Est,3359,4185–4185,West Betuwe,Gelderland
Esveld,,3771–3771,Barneveld,Gelderland
Etenaken,,6321–6321,Gulpen-Wittem,Limburg
Etsberg,,6063–6063,Roerdalen,Limburg
Etten,1581,7075–7075,Oude IJsselstreek,Gelderland
Etten-Leur,1010,4871–4879,Etten-Leur,Noord-Brabant
Etzenrade,,6454–6454,Beekdaelen,Limburg
Europoort,,3198–3198,Rotterdam,Zuid-Holland
Eursing,,9411–9411,Midden-Drenthe,Drenthe
Eursinge,3165,7935–7935,De Wolden,Drenthe
Eursinge,3011,9434–9434,Midden-Drenthe,Drenthe
Eursinge,,7971–7971,Westerveld,Drenthe
Euvelwegen,,6029–6029,Heeze-Leende,Noord-Brabant
Euverem,,6271–6271,Gulpen-Wittem,Limburg
Evenheuvel,,5688–5688,Oirschot,Noord-Brabant
Everdingen,2840,4121–4121,Vijfheerenlanden,Utrecht
Everland,,4707–4707,Roosendaal,Noord-Brabant
Everlo,,5981–5981,Peel en Maas,Limburg
Eversdijk,,4421–4421,Kapelle,Zeeland
Everse,,5491–5491,Meierijstad,Noord-Brabant
Evertsoord,1517,5977–5977,Horst aan de Maas,Limburg
Ewer,,9966–9966,Het Hogeland,Groningen
Ewijk,2752,6644–6644,Beuningen,Gelderland
Ewijk,,6611–6611,Heumen,Gelderland
Ewinkel,,5432–5432,Cuijk,Noord-Brabant
Exel,,7245–7245,Lochem,Gelderland
Exel-Tol,,7241–7241,Lochem,Gelderland
Exloo,1795,7875–7875,Borger-Odoorn,Drenthe
Exloërkijl,,9571–9571,Borger-Odoorn,Drenthe
Exloërveen,1794,9574–9574,Borger-Odoorn,Drenthe
Exmorra / Eksmoarre,2307,8759–8759,Súdwest-Fryslân,Fryslân
Exmorrazijl / Eksmoarresyl,,8759–8759,Súdwest-Fryslân,Fryslân
Eygelshoven,2650,6471–6471,Kerkrade,Limburg
Eys,1234,6287–6287,Gulpen-Wittem,Limburg
Eyserheide,,6287–6287,Gulpen-Wittem,Limburg
Ezinge,2467,9891–9891,Westerkwartier,Groningen
Ezumazijl / Iezumasyl,,9133–9133,Noardeast-Fryslân,Fryslân
Faan,,9822–9822,Westerkwartier,Groningen
De Falom / De Valom,3267,9109–9109,Dantumadiel,Fryslân
Farebuorren / Vaardeburen,,9171–9171,Noardeast-Fryslân,Fryslân
Farmsum,3235,9936–9936,Delfzijl,Groningen
Fatum,,8804–8804,Waadhoeke,Fryslân
Feanwâlden / Veenwouden,3271,9269–9269,Dantumadiel,Fryslân
Feanwâldsterwâl / Veenwoudsterwal,,9254–9269,Dantumadiel,Fryslân
Feerwerd,2468,9892–9892,Westerkwartier,Groningen
Feinsum / Finkum,3226,9053–9053,Leeuwarden,Fryslân
Felland,,9755–9755,Groningen,Groningen
Ferwert / Ferwerd,3201,9172–9172,Noardeast-Fryslân,Fryslân
Ferwoude / Ferwâlde,2308,8761–8761,Súdwest-Fryslân,Fryslân
Feytebuorren,,8616–8616,Súdwest-Fryslân,Fryslân
Fiemel,,9947–9947,Delfzijl,Groningen
Fijnaart,1321,4793–4793,Moerdijk,Noord-Brabant
Finkeburen / Finkebuorren,,8521–8521,De Fryske Marren,Fryslân
Finsterwolde,1419,9684–9684,Oldambt,Groningen
Finsterwolderhamrik,,9684–9684,Oldambt,Groningen
Firdgum / Furdgum,1378,8852–8852,Waadhoeke,Fryslân
Flansum / Flânsum,,9012–9012,Súdwest-Fryslân,Fryslân
Fleringen,1284,7666–7666,Tubbergen,Overijssel
Flieren,,6691–6691,Lingewaard,Gelderland
Fluitenberg,1812,7931–7931,Hoogeveen,Drenthe
Fochteloo / De Fochtel,1756,8428–8428,Ooststellingwerf,Fryslân
Fokkershoek,,5473–5473,Bernheze,Noord-Brabant
Follega / Follegea,2244,8535–8535,De Fryske Marren,Fryslân
Folsgare / Folsgeare,2402,8773–8773,Súdwest-Fryslân,Fryslân
Formerum / Formearum,2617,8894–8894,Terschelling,Fryslân
Fort,,7924–7924,De Wolden,Drenthe
Fortmond,,8121–8121,Olst-Wijhe,Overijssel
Foudgum,3394,9154–9154,Noardeast-Fryslân,Fryslân
Foxhol,1017,9607–9607,Midden-Groningen,Groningen
Foxholsterbosch,,9607–9607,Midden-Groningen,Groningen
Foxwolde,1636,9314–9314,Noordenveld,Drenthe
Fraamklap,,9991–9991,Loppersum,Groningen
Franeker / Frjentsjer,1366,8801–8802,Waadhoeke,Fryslân
Franschehoef / Franse Hoef (?),,5531–5531,Bladel,Noord-Brabant
Fransum,,9833–9833,Westerkwartier,Groningen
Frederiksoord,3111,8382–8382,Westerveld,Drenthe
Friens,2527,9009–9009,Leeuwarden,Fryslân
Frieschepalen / Fryske Peallen,3345,9249–9249,Opsterland,Fryslân
Friesland,,6942–6942,Montferland,Gelderland
Frieswijk,,7433–7433,Deventer,Overijssel
Fromberg,,6367–6367,Voerendaal,Limburg
Froombosch,1348,9619–9619,Midden-Groningen,Groningen
Frytum,,9884–9884,Westerkwartier,Groningen
Fûns / Fons,,9023–9023,Leeuwarden,Fryslân
Gaag,,3155–3155,Midden-Delfland,Zuid-Holland
Gaanderen,3247,7011–7011,Doetinchem,Gelderland
Gaarkeuken,,9843–9843,Westerkwartier,Groningen
Gaarland,,9628–9628,Midden-Groningen,Groningen
Gaast,2309,8757–8757,Súdwest-Fryslân,Fryslân
De Gaasten,,9216–9216,Smallingerland,Fryslân
Gaastmeer / De Gaastmar,2403,8611–8611,Súdwest-Fryslân,Fryslân
Gaete,,4926–4926,Drimmelen,Noord-Brabant
De Gagel,,5451–5451,Mill en Sint Hubert,Noord-Brabant
Galamadammen,,8723–8723,Súdwest-Fryslân,Fryslân
Galder,3434,4855–4855,Alphen-Chaam,Noord-Brabant
Galhoeke / De Galhoek (?),,9205–9205,Smallingerland,Fryslân
Gameren,2631,5311–5311,Zaltbommel,Gelderland
Gammelke,,7561–7561,Dinkelland,Overijssel
Ganzedijk,,9684–9684,Oldambt,Groningen
Ganzert,,4031–4031,Buren,Gelderland
Gapinge,2777,4352–4352,Veere,Zeeland
Garderbroek,,3774–3774,Barneveld,Gelderland
Garderen,1057,3886–3886,Barneveld,Gelderland
Garmerwolde,1831,9798–9798,Groningen,Groningen
Garminge,3012,9438–9438,Midden-Drenthe,Drenthe
Garnwerd,2469,9893–9893,Westerkwartier,Groningen
Garrelsweer,3445,9918–9918,Loppersum,Groningen
Garreweer,,9903–9903,Appingedam,Groningen
Garsthuizen,3446,9923–9923,Loppersum,Groningen
Garyp / Garijp,2455,9263–9263,Tytsjerksteradiel,Fryslân
Gassel,3196,5438–5438,Grave,Noord-Brabant
Gasselte,1162,9462–9462,Aa en Hunze,Drenthe
Gasselterboerveen,,9514–9514,Aa en Hunze,Drenthe
Gasselterboerveenschemond,,9515–9515,Aa en Hunze,Drenthe
Gasselternijveen,1163,9514–9514,Aa en Hunze,Drenthe
Gasselternijveenschemond,1164,9515–9515,Aa en Hunze,Drenthe
Gastel,1570,6028–6028,Cranendonck,Noord-Brabant
Gastelsveer,,4751–4751,Halderberge,Noord-Brabant
Gasteren,1165,9466–9466,Aa en Hunze,Drenthe
Gasthuis,,6268–6268,Eijsden-Margraten,Limburg
Gauw / Gau,2404,8627–8627,Súdwest-Fryslân,Fryslân
Gawege,,4414–4414,Reimerswaal,Zeeland
Gebergte,,5715–5715,Someren,Noord-Brabant
Gebroek,,6101–6101,Echt-Susteren,Limburg
Gebroek,,6121–6121,Sittard-Geleen,Limburg
Geefsweer,,9937–9937,Delfzijl,Groningen
Geelbroek,1166,9455–9455,Aa en Hunze,Drenthe
Geeneind,,5708–5735,Helmond,Noord-Brabant
Geer,,3648–3648,De Ronde Venen,Utrecht
Geer,,4243–4243,Vijfheerenlanden,Utrecht
Geerdijk,3322,7686–7686,Twenterand,Overijssel
Geersbroek,,4858–4858,Alphen-Chaam,Noord-Brabant
Geersdijk,3193,4494–4494,Noord-Beveland,Zeeland
Geerstraat,,8171–8171,Epe,Gelderland
Geertruidenberg,1751,4931–4931,Geertruidenberg,Noord-Brabant
Geervliet,1386,3211–3211,Nissewaard,Zuid-Holland
Gees,2154,7863–7863,Coevorden,Drenthe
Geesbrug,2155,7917–7917,Coevorden,Drenthe
Geestdorp,,3444–3444,Woerden,Utrecht
Geesteren,1655,7274–7274,Berkelland,Gelderland
Geesteren,1285,7678–7678,Tubbergen,Overijssel
Geeuwenbrug,3112,7985–7985,Westerveld,Drenthe
Geffen,3610,5386–5386,Oss,Noord-Brabant
Geijsteren,1857,5862–5862,Venray,Limburg
Geitenwaard,,6913–6913,Zevenaar,Gelderland
Geldermalsen,3529,4191–4191,West Betuwe,Gelderland
Gelderse Buurt,,1761–1761,Hollands Kroon,Noord-Holland
Gelderswoude,2645,2735–2735,Zoeterwoude,Zuid-Holland
Geldrop,1126,5661–5667,Geldrop-Mierlo,Noord-Brabant
Geldtienden,,4353–4353,Veere,Zeeland
Geleen,3513,6161–6167,Sittard-Geleen,Limburg
